Region,Group,Male (5+ yrs),Female (5+ yrs),Total (5+ yrs),Male (15+ yrs),Female (15+ yrs),Total (15+ yrs)
Koshi Urban,Analytical,89.5,74.2,81.2,87.6,69.4,77.6
Koshi Rural,Analytical,82.8,61.0,72.5,79.0,55.8,66.8
Madhesh Urban,Analytical,79.2,62.0,70.2,75.6,52.9,61.2
Madhesh Rural,Analytical,74.0,55.7,62.9,65.1,52.9,52.6
Kathmandu Valley Urban (KVU),Analytical,95.7,84.4,89.6,94.2,82.3,88.2
Bagmati Urban (Except KVU),Analytical,86.6,75.0,79.9,83.6,69.8,76.0
Bagmati Rural,Analytical,77.0,60.2,68.0,72.3,51.6,61.5
Gandaki Urban,Analytical,93.3,78.6,85.5,91.6,74.5,82.0
Gandaki Rural,Analytical,87.2,72.2,79.2,84.2,66.3,74.4
Lumbini Urban,Analytical,88.1,75.6,81.4,85.0,71.3,77.4
Lumbini Rural,Analytical,86.5,72.2,78.0,82.7,64.7,72.2
Karnali Urban,Analytical,88.8,70.9,78.9,84.9,64.7,72.9
Karnali Rural,Analytical,83.8,66.5,74.0,78.5,57.0,65.8
Sudurpaschim Urban,Analytical,87.3,66.9,75.5,84.7,60.2,69.9
Sudurpaschim Rural,Analytical,81.0,61.3,69.6,74.9,50.6,60.2
